iter	Passed	Remaining
0	0	978
1	1	905
2	2	885
3	3	877
4	4	873
5	5	866
6	6	869
7	6	867
8	7	861
9	8	864
10	10	941
11	11	932
12	12	930
13	13	926
14	14	919
15	14	916
16	16	950
17	17	964
18	18	975
19	20	993
20	21	1001
21	23	1024
22	24	1026
23	25	1027
24	26	1026
25	27	1025
26	28	1025
27	29	1028
28	31	1056
29	33	1073
30	34	1084
31	36	1092
32	37	1088
33	38	1093
34	40	1105
35	41	1103
36	43	1119
37	44	1128
38	46	1139
39	48	1152
40	49	1162
41	51	1168
42	52	1178
43	54	1181
44	55	1186
45	57	1191
46	59	1201
47	60	1200
48	62	1213
49	64	1226
50	66	1241
51	68	1250
52	70	1254
53	71	1259
54	73	1269
55	75	1278
56	77	1285
57	79	1290
58	81	1293
59	82	1295
60	84	1297
61	86	1303
62	88	1310
63	89	1315
64	91	1322
65	94	1336
66	95	1329
67	96	1328
68	98	1323
69	99	1319
70	100	1316
71	101	1314
72	103	1315
73	105	1318
74	106	1314
75	108	1322
76	109	1314
77	110	1307
78	111	1299
79	112	1293
80	113	1286
81	114	1278
82	115	1272
83	116	1266
84	117	1260
85	117	1253
86	118	1246
87	119	1240
88	120	1233
89	121	1232
90	122	1226
91	123	1217
92	124	1212
93	125	1206
94	126	1201
95	127	1196
96	127	1189
97	128	1182
98	129	1176
99	130	1170
100	130	1164
101	131	1158
102	132	1152
103	133	1146
104	133	1140
105	134	1134
106	135	1129
107	136	1124
108	137	1123
109	138	1118
110	138	1113
111	139	1107
112	140	1102
113	141	1097
114	141	1091
115	142	1086
116	143	1081
117	144	1076
118	144	1072
119	145	1067
120	146	1063
121	147	1061
122	149	1062
123	149	1059
124	150	1055
125	151	1051
126	152	1050
127	153	1047
128	154	1043
129	155	1039
130	156	1035
131	156	1032
132	157	1027
133	158	1023
134	159	1019
135	159	1015
136	160	1011
137	161	1008
138	162	1004
139	162	1001
140	163	997
141	164	994
142	165	990
143	166	987
144	166	984
145	167	980
146	168	977
147	169	974
148	169	970
149	170	967
150	171	963
151	172	960
152	172	956
153	173	953
154	174	949
155	175	949
156	176	946
157	177	944
158	177	940
159	178	937
160	180	938
161	181	938
162	182	939
163	183	936
164	184	935
165	185	933
166	186	930
167	187	927
168	187	924
169	188	921
170	189	918
171	190	914
172	190	912
173	191	909
174	192	906
175	192	903
176	193	900
177	194	897
178	195	894
179	195	892
180	196	889
181	197	886
182	198	885
183	199	882
184	199	879
185	200	877
186	201	874
187	202	873
188	203	872
189	204	870
190	204	868
191	205	865
192	206	862
193	207	860
194	207	856
195	208	854
196	209	852
197	209	850
198	210	847
199	211	845
200	212	844
201	213	842
202	214	840
203	214	838
204	215	836
205	216	834
206	217	832
207	218	830
208	218	827
209	219	825
210	220	823
211	220	821
212	221	819
213	222	816
214	223	814
215	223	812
216	224	810
217	225	808
218	226	806
219	227	806
220	228	804
221	229	802
222	230	802
223	231	800
224	231	798
225	232	796
226	233	794
227	234	792
228	234	790
229	235	788
230	236	786
231	237	784
232	237	782
233	238	781
234	239	779
235	240	777
236	240	775
237	241	774
238	243	774
239	244	775
240	246	774
241	247	774
242	248	773
243	249	772
244	250	771
245	251	771
246	252	770
247	253	769
248	255	769
249	256	768
250	257	768
251	258	767
252	259	766
253	260	765
254	261	763
255	262	761
256	262	760
257	263	758
258	264	756
259	265	754
260	265	753
261	266	751
262	267	749
263	268	749
264	269	747
265	270	745
266	271	744
267	272	743
268	273	741
269	273	740
270	274	738
271	275	736
272	276	735
273	276	733
274	277	731
275	278	730
276	279	728
277	279	726
278	280	724
279	281	723
280	281	721
281	282	719
282	283	718
283	284	717
284	285	716
285	286	714
286	287	714
287	288	713
288	289	712
289	291	712
290	292	712
291	293	712
292	295	712
293	296	711
294	297	710
295	298	711
296	299	709
297	300	708
298	302	708
299	303	708
300	304	708
301	305	706
302	306	705
303	307	703
304	307	701
305	308	700
306	309	698
307	310	697
308	310	695
309	312	695
310	313	693
311	313	692
312	314	690
313	315	689
314	316	687
315	317	686
316	317	685
317	318	683
318	319	681
319	320	680
320	321	679
321	321	677
322	322	676
323	323	674
324	324	673
325	324	671
326	325	670
327	326	668
328	327	666
329	327	665
330	328	663
331	329	662
332	329	660
333	330	659
334	331	657
335	332	656
336	333	656
337	334	655
338	335	654
339	337	654
340	338	654
341	340	654
342	341	654
343	343	654
344	344	654
345	345	653
346	347	653
347	348	652
348	349	651
349	350	650
350	351	649
351	352	648
352	352	646
353	353	645
354	354	643
355	354	642
356	355	640
357	356	639
358	357	637
359	357	636
360	358	634
361	359	633
362	360	631
363	360	630
364	361	629
365	362	627
366	363	626
367	363	625
368	364	623
369	365	621
370	366	620
371	367	619
372	367	618
373	368	617
374	369	615
375	370	614
376	370	612
377	371	611
378	372	610
379	373	608
380	373	607
381	374	605
382	375	604
383	376	603
384	377	602
385	378	601
386	379	601
387	380	600
388	382	600
389	383	599
390	385	600
391	387	600
392	389	601
393	391	601
394	396	607
395	397	606
396	398	605
397	399	604
398	400	603
399	401	602
400	402	601
401	403	600
402	404	599
403	405	598
404	406	596
405	407	596
406	408	595
407	409	593
408	410	592
409	411	591
410	411	590
411	412	589
412	413	587
413	415	587
414	416	586
415	417	586
416	418	585
417	419	584
418	421	584
419	422	583
420	425	585
421	426	584
422	428	584
423	430	584
424	431	583
425	442	596
426	443	595
427	444	594
428	445	593
429	446	592
430	447	591
431	449	590
432	450	589
433	451	588
434	452	587
435	453	587
436	455	586
437	456	585
438	457	584
439	459	584
440	460	583
441	461	582
442	463	582
443	464	581
444	464	579
445	465	578
446	466	577
447	467	576
448	468	574
449	469	574
450	472	574
451	474	574
452	476	574
453	478	575
454	481	577
